time,e1,e2,r1,r2,tau1,tau2
0.30002502,-0.07399762,0.007615473,-0.67861503,-0.032661904,-6.518029,-1.646146
0.30502543,-0.07553351,0.007276334,-0.6840466,-0.0344524,-6.547882,-1.6513724
0.31002584,-0.077058196,0.0069366843,-0.6892303,-0.036163196,-6.5742908,-1.6549314
0.31502625,-0.078570485,0.006596934,-0.6941644,-0.037797425,-6.59718,-1.6568031
0.32002667,-0.08006978,0.0062574744,-0.6988504,-0.03935796,-6.6164947,-1.6569725
0.32502708,-0.08155513,0.005918663,-0.7032883,-0.040847484,-6.6321864,-1.6554284
0.3300275,-0.083025455,0.005580839,-0.707478,-0.042268444,-6.6442084,-1.6521634
0.33502793,-0.08448005,0.0052443296,-0.7114212,-0.043622866,-6.6525393,-1.6471747
0.34002835,-0.08591795,0.004909411,-0.7151189,-0.04491295,-6.657154,-1.6404625
0.34502876,-0.08733845,0.0045763776,-0.7185734,-0.046140082,-6.65805,-1.6320324
0.35002917,-0.088740826,0.0042454973,-0.7217872,-0.047305696,-6.655226,-1.6218916
0.35502958,-0.09012413,0.003917016,-0.72476196,-0.048411064,-6.6486936,-1.6100528
0.36003,-0.091487646,0.0035911873,-0.7275005,-0.049456857,-6.6384764,-1.5965331
0.3650304,-0.0928309,0.003268227,-0.73000693,-0.050443783,-6.6246095,-1.581353
0.37003085,-0.094153166,0.0029483885,-0.7322844,-0.051372096,-6.60713,-1.5645325
0.37503126,-0.09545374,0.002631843,-0.73433614,-0.05224228,-6.5860934,-1.5461042
0.38003168,-0.09673214,0.0023188218,-0.7361664,-0.053053983,-6.561556,-1.5260946
0.3850321,-0.09798765,0.002009526,-0.7377786,-0.053806856,-6.533587,-1.5045388
0.3900325,-0.09921992,0.0017041564,-0.7391777,-0.05450037,-6.5022645,-1.4814739
0.3950329,-0.10042846,0.0014028996,-0.7403682,-0.055133775,-6.467672,-1.4569389
0.40003332,-0.10161269,0.0011059716,-0.7413538,-0.055705838,-6.4299,-1.4309778
0.40503377,-0.102772236,0.0008135736,-0.74213946,-0.056215316,-6.3890452,-1.4036338
0.41003418,-0.10390687,0.0005258769,-0.74273074,-0.056660876,-6.345213,-1.3749552
0.4150346,-0.10501599,0.000243105,-0.74313116,-0.057040714,-6.29851,-1.3449912
0.420035,-0.10609937,-3.4548342e-05,-0.7433459,-0.05735288,-6.2490506,-1.3137927
0.42503542,-0.10715687,-0.00030686706,-0.74338084,-0.057595186,-6.196956,-1.281413
0.43003583,-0.10818803,-0.0005736351,-0.7432397,-0.057765305,-6.142342,-1.2479053
0.43503624,-0.10919285,-0.00083462894,-0.74292856,-0.057860598,-6.0853395,-1.2133265
